Idioma,Únicas,Duplicadas,Total de Denúncias,Mês,Mês Número,Ano
french,15.0,26.0,41,Abril,4,2009
farsi,1.0,1.0,2,Abril,4,2009
swedish,0.0,0.0,0,Abril,4,2009
russian,23.0,33.0,56,Abril,4,2009
german,3.0,3.0,6,Abril,4,2009
spanish,14.0,7.0,21,Abril,4,2009
dutch,1.0,0.0,1,Abril,4,2009
pinyin,0.0,0.0,0,Abril,4,2009
english,596.0,690.0,1286,Abril,4,2009
portuguese,300.0,208.0,508,Maio,5,2009
french,21.0,14.0,35,Maio,5,2009
farsi,0.0,0.0,0,Maio,5,2009
swedish,0.0,0.0,0,Maio,5,2009
russian,23.0,9.0,32,Maio,5,2009
german,2.0,2.0,4,Maio,5,2009
spanish,11.0,8.0,19,Maio,5,2009
dutch,2.0,3.0,5,Maio,5,2009
pinyin,0.0,0.0,0,Maio,5,2009
english,496.0,393.0,889,Maio,5,2009
portuguese,245.0,170.0,415,Junho,6,2009
french,17.0,20.0,37,Junho,6,2009
farsi,0.0,0.0,0,Junho,6,2009
swedish,0.0,0.0,0,Junho,6,2009
russian,26.0,20.0,46,Junho,6,2009
german,2.0,11.0,13,Junho,6,2009
spanish,18.0,4.0,22,Junho,6,2009
dutch,2.0,3.0,5,Junho,6,2009
pinyin,0.0,0.0,0,Junho,6,2009
english,541.0,494.0,1035,Junho,6,2009
portuguese,237.0,290.0,527,Julho,7,2009
french,26.0,17.0,43,Julho,7,2009
farsi,1.0,0.0,1,Julho,7,2009
swedish,0.0,0.0,0,Julho,7,2009
russian,28.0,30.0,58,Julho,7,2009
german,4.0,3.0,7,Julho,7,2009
spanish,13.0,15.0,28,Julho,7,2009
dutch,0.0,0.0,0,Julho,7,2009
pinyin,0.0,0.0,0,Julho,7,2009
english,508.0,433.0,941,Julho,7,2009
portuguese,267.0,179.0,446,Agosto,8,2009
french,16.0,12.0,28,Agosto,8,2009
farsi,1.0,0.0,1,Agosto,8,2009
swedish,0.0,0.0,0,Agosto,8,2009
russian,28.0,30.0,58,Agosto,8,2009
german,5.0,5.0,10,Agosto,8,2009
spanish,21.0,20.0,41,Agosto,8,2009
dutch,5.0,1.0,6,Agosto,8,2009
pinyin,0.0,0.0,0,Agosto,8,2009
english,502.0,417.0,919,Agosto,8,2009
portuguese,257.0,197.0,454,Setembro,9,2009
french,29.0,12.0,41,Setembro,9,2009
farsi,0.0,0.0,0,Setembro,9,2009
swedish,0.0,0.0,0,Setembro,9,2009
russian,34.0,127.0,161,Setembro,9,2009
german,6.0,3.0,9,Setembro,9,2009
spanish,10.0,40.0,50,Setembro,9,2009
dutch,7.0,0.0,7,Setembro,9,2009
pinyin,0.0,0.0,0,Setembro,9,2009
english,552.0,461.0,1013,Setembro,9,2009
portuguese,351.0,300.0,651,Outubro,10,2009
french,25.0,7.0,32,Outubro,10,2009
farsi,3.0,3.0,6,Outubro,10,2009
swedish,0.0,0.0,0,Outubro,10,2009
russian,47.0,137.0,184,Outubro,10,2009
german,5.0,0.0,5,Outubro,10,2009
spanish,31.0,27.0,58,Outubro,10,2009
dutch,5.0,1.0,6,Outubro,10,2009
pinyin,0.0,0.0,0,Outubro,10,2009
english,689.0,658.0,1347,Outubro,10,2009
portuguese,391.0,418.0,809,Novembro,11,2009
french,36.0,49.0,85,Novembro,11,2009
farsi,0.0,0.0,0,Novembro,11,2009
swedish,0.0,0.0,0,Novembro,11,2009
russian,62.0,26.0,88,Novembro,11,2009
german,7.0,16.0,23,Novembro,11,2009
spanish,21.0,23.0,44,Novembro,11,2009
dutch,6.0,6.0,12,Novembro,11,2009
pinyin,0.0,0.0,0,Novembro,11,2009
english,754.0,742.0,1496,Novembro,11,2009
portuguese,315.0,442.0,757,Dezembro,12,2009
french,32.0,21.0,53,Dezembro,12,2009
farsi,0.0,2.0,2,Dezembro,12,2009
swedish,0.0,0.0,0,Dezembro,12,2009
russian,57.0,72.0,129,Dezembro,12,2009
german,8.0,7.0,15,Dezembro,12,2009
spanish,30.0,30.0,60,Dezembro,12,2009
dutch,1.0,3.0,4,Dezembro,12,2009
pinyin,0.0,0.0,0,Dezembro,12,2009
english,782.0,931.0,1713,Dezembro,12,2009
portuguese,304.0,393.0,697,Janeiro,1,2010
french,21.0,11.0,32,Janeiro,1,2010
farsi,1.0,0.0,1,Janeiro,1,2010
swedish,0.0,0.0,0,Janeiro,1,2010
russian,43.0,51.0,94,Janeiro,1,2010
german,2.0,1.0,3,Janeiro,1,2010
spanish,25.0,26.0,51,Janeiro,1,2010
dutch,4.0,4.0,8,Janeiro,1,2010
pinyin,0.0,0.0,0,Janeiro,1,2010
english,677.0,639.0,1316,Janeiro,1,2010
portuguese,165.0,176.0,341,Fevereiro,2,2010
french,26.0,20.0,46,Fevereiro,2,2010
farsi,0.0,0.0,0,Fevereiro,2,2010
swedish,0.0,0.0,0,Fevereiro,2,2010
russian,25.0,24.0,49,Fevereiro,2,2010
german,7.0,4.0,11,Fevereiro,2,2010
spanish,20.0,22.0,42,Fevereiro,2,2010
dutch,1.0,0.0,1,Fevereiro,2,2010
pinyin,0.0,0.0,0,Fevereiro,2,2010
english,487.0,470.0,957,Fevereiro,2,2010
portuguese,361.0,388.0,749,Março,3,2010
french,40.0,23.0,63,Março,3,2010
farsi,0.0,0.0,0,Março,3,2010
swedish,0.0,0.0,0,Março,3,2010
russian,26.0,38.0,64,Março,3,2010
german,1.0,1.0,2,Março,3,2010
spanish,19.0,20.0,39,Março,3,2010
dutch,1.0,3.0,4,Março,3,2010
pinyin,0.0,0.0,0,Março,3,2010
english,631.0,1071.0,1702,Março,3,2010
portuguese,889.0,739.0,1628,Abril,4,2010
french,55.0,107.0,162,Abril,4,2010
farsi,2.0,13.0,15,Abril,4,2010
swedish,0.0,0.0,0,Abril,4,2010
russian,62.0,70.0,132,Abril,4,2010
german,16.0,3.0,19,Abril,4,2010
spanish,57.0,60.0,117,Abril,4,2010
dutch,3.0,15.0,18,Abril,4,2010
pinyin,0.0,0.0,0,Abril,4,2010
english,1467.0,2077.0,3544,Abril,4,2010
portuguese,1000.0,407.0,1407,Maio,5,2010
french,46.0,30.0,76,Maio,5,2010
farsi,1.0,0.0,1,Maio,5,2010
swedish,0.0,0.0,0,Maio,5,2010
russian,28.0,47.0,75,Maio,5,2010
german,6.0,2.0,8,Maio,5,2010
spanish,45.0,29.0,74,Maio,5,2010
dutch,2.0,1.0,3,Maio,5,2010
pinyin,0.0,0.0,0,Maio,5,2010
english,886.0,843.0,1729,Maio,5,2010
portuguese,458.0,406.0,864,Junho,6,2010
french,43.0,50.0,93,Junho,6,2010
farsi,1.0,0.0,1,Junho,6,2010
swedish,0.0,0.0,0,Junho,6,2010
russian,21.0,33.0,54,Junho,6,2010
german,8.0,3.0,11,Junho,6,2010
spanish,19.0,7.0,26,Junho,6,2010
dutch,1.0,1.0,2,Junho,6,2010
pinyin,0.0,0.0,0,Junho,6,2010
english,679.0,602.0,1281,Junho,6,2010
portuguese,655.0,1077.0,1732,Julho,7,2010
french,36.0,28.0,64,Julho,7,2010
farsi,0.0,0.0,0,Julho,7,2010
swedish,0.0,0.0,0,Julho,7,2010
russian,55.0,119.0,174,Julho,7,2010
german,2.0,1.0,3,Julho,7,2010
spanish,36.0,22.0,58,Julho,7,2010
dutch,3.0,2.0,5,Julho,7,2010
pinyin,0.0,0.0,0,Julho,7,2010
english,870.0,730.0,1600,Julho,7,2010
portuguese,743.0,641.0,1384,Agosto,8,2010
french,108.0,110.0,218,Agosto,8,2010
farsi,28.0,0.0,28,Agosto,8,2010
swedish,0.0,0.0,0,Agosto,8,2010
russian,97.0,85.0,182,Agosto,8,2010
german,20.0,6.0,26,Agosto,8,2010
spanish,47.0,25.0,72,Agosto,8,2010
dutch,25.0,3.0,28,Agosto,8,2010
pinyin,0.0,0.0,0,Agosto,8,2010
english,2213.0,1771.0,3984,Agosto,8,2010
portuguese,524.0,519.0,1043,Setembro,9,2010
french,60.0,44.0,104,Setembro,9,2010
farsi,0.0,0.0,0,Setembro,9,2010
swedish,0.0,0.0,0,Setembro,9,2010
russian,57.0,70.0,127,Setembro,9,2010
german,12.0,1.0,13,Setembro,9,2010
spanish,42.0,12.0,54,Setembro,9,2010
dutch,1.0,1.0,2,Setembro,9,2010
pinyin,0.0,0.0,0,Setembro,9,2010
english,912.0,981.0,1893,Setembro,9,2010
portuguese,630.0,419.0,1049,Outubro,10,2010
french,58.0,47.0,105,Outubro,10,2010
farsi,3.0,0.0,3,Outubro,10,2010
swedish,0.0,0.0,0,Outubro,10,2010
russian,58.0,56.0,114,Outubro,10,2010
german,7.0,3.0,10,Outubro,10,2010
spanish,26.0,20.0,46,Outubro,10,2010
dutch,0.0,1.0,1,Outubro,10,2010
