Domínio,Únicas,Duplicadas,Total de Denúncias,Mês,Mês Número,Ano
yahoo.com,53.0,6.0,59,Janeiro,1,2010
4shared.com,38.0,6.0,44,Janeiro,1,2010
orkut.com,240.0,2520.0,2760,Janeiro,1,2010
uol.com.br,138.0,57.0,195,Janeiro,1,2010
orkut.com.br,3839.0,26210.0,30049,Janeiro,1,2010
wordpress.com,16.0,40.0,56,Janeiro,1,2010
50webs.com,12.0,16.0,28,Janeiro,1,2010
fresh-girls.net,24.0,23.0,47,Fevereiro,2,2010
youtube.com,31.0,22.0,53,Fevereiro,2,2010
4shared.com,15.0,7.0,22,Fevereiro,2,2010
orkut.com,350.0,1245.0,1595,Fevereiro,2,2010
uol.com.br,28.0,13.0,41,Fevereiro,2,2010
orkut.com.br,2705.0,13005.0,15710,Fevereiro,2,2010
wordpress.com,11.0,32.0,43,Fevereiro,2,2010
50webs.com,24.0,9.0,33,Fevereiro,2,2010
imagefap.com,22.0,1.0,23,Fevereiro,2,2010
xvideos.com,20.0,11.0,31,Março,3,2010
youtube.com,54.0,41.0,95,Março,3,2010
tagged.com,20.0,0.0,20,Março,3,2010
4shared.com,29.0,5.0,34,Março,3,2010
orkut.com,659.0,2209.0,2868,Março,3,2010
uol.com.br,46.0,24.0,70,Março,3,2010
twitter.com,22.0,558.0,580,Março,3,2010
orkut.com.br,3377.0,22711.0,26088,Março,3,2010
imagebam.com,22.0,2.0,24,Março,3,2010
youtube.com,142.0,23.0,165,Abril,4,2010
live.com,149.0,221.0,370,Abril,4,2010
bestlolasite.com,90.0,0.0,90,Abril,4,2010
orkut.com,2899.0,8007.0,10906,Abril,4,2010
uol.com.br,62.0,26.0,88,Abril,4,2010
ning.com,102.0,52.0,154,Abril,4,2010
greatestsites.biz,74.0,1.0,75,Abril,4,2010
orkut.com.br,3581.0,25875.0,29456,Abril,4,2010
imagefap.com,140.0,4.0,144,Abril,4,2010
darkpix.ws,90.0,90.0,180,Abril,4,2010
terra.com.br,224.0,4.0,228,Maio,5,2010
formspring.me,71.0,199.0,270,Maio,5,2010
xvideos.com,23.0,13.0,36,Maio,5,2010
youtube.com,64.0,43.0,107,Maio,5,2010
yahoo.com,48.0,1.0,49,Maio,5,2010
orkut.com,1573.0,6885.0,8458,Maio,5,2010
uol.com.br,29.0,20.0,49,Maio,5,2010
msn.com,285.0,3.0,288,Maio,5,2010
