Período,Domínio,Únicas,Duplicadas,Total
01/11/2009 a 30/11/2009,uol.com.br,128,27,155
01/11/2009 a 30/11/2009,orkut.com.br,4366,24534,28900
01/11/2009 a 30/11/2009,lollysweet.cn,34,7,41
01/11/2009 a 30/11/2009,wordpress.com,30,22,52
,,,,
01/12/2009 a 31/12/2009,youtube.com,79,18,97
01/12/2009 a 31/12/2009,brownallbe45.com,26,0,26
01/12/2009 a 31/12/2009,yahoo.com,22,0,22
01/12/2009 a 31/12/2009,4shared.com,25,4,29
01/12/2009 a 31/12/2009,uol.com.br,142,28,170
01/12/2009 a 31/12/2009,orkut.com,105,2096,2201
01/12/2009 a 31/12/2009,orkut.com.br,3493,20993,24486
01/12/2009 a 31/12/2009,lollysweet.cn,16,0,16
01/12/2009 a 31/12/2009,wordpress.com,29,53,82
,,,,
01/01/2010 a 31/01/2010,youtube.com,63,18,81
01/01/2010 a 31/01/2010,brownallbe45.com,21,2,23
01/01/2010 a 31/01/2010,yahoo.com,53,6,59
01/01/2010 a 31/01/2010,4shared.com,38,6,44
01/01/2010 a 31/01/2010,orkut.com,240,2520,2760
01/01/2010 a 31/01/2010,uol.com.br,138,57,195
01/01/2010 a 31/01/2010,orkut.com.br,3839,26210,30049
01/01/2010 a 31/01/2010,wordpress.com,16,40,56
01/01/2010 a 31/01/2010,50webs.com,12,16,28
,,,,
01/02/2010 a 28/02/2010,fresh-girls.net,24,23,47
01/02/2010 a 28/02/2010,youtube.com,31,22,53
01/02/2010 a 28/02/2010,4shared.com,15,7,22
01/02/2010 a 28/02/2010,orkut.com,350,1245,1595
01/02/2010 a 28/02/2010,uol.com.br,28,13,41
01/02/2010 a 28/02/2010,orkut.com.br,2705,13005,15710
